date,OT,dgs1mo,dbaa,t5yifr
2021-02-10,13972.53027,0.05,3.31,2.11
2021-02-11,14025.76953,0.05,3.34,2.08
2021-02-12,14095.46973,0.03,3.39,2.07
2021-02-16,14047.5,0.03,3.45,2.11
2021-02-17,13965.49023,0.03,3.42,2.07
2021-02-18,13865.36035,0.03,3.42,2.03
2021-02-19,13874.45996,0.03,3.48,1.99
2021-02-22,13533.04981,0.03,3.53,1.97
2021-02-23,13465.2002,0.03,3.57,1.97
2021-02-24,13597.96973,0.03,3.6,1.96
2021-02-25,13119.42969,0.04,3.66,1.94
2021-02-26,13192.34961,0.04,3.56,1.91
2021-03-01,13588.83008,0.03,3.58,1.92
2021-03-02,13358.79004,0.04,3.57,1.97
2021-03-03,12997.75,0.04,3.61,1.97
2021-03-04,12723.46973,0.03,3.67,1.97
2021-03-05,12920.15039,0.04,3.69,2.01
2021-03-08,12609.16016,0.04,3.73,2.0
2021-03-09,13073.82031,0.04,3.71,2.01
2021-03-10,13068.83008,0.03,3.7,2.05
2021-03-11,13398.66992,0.04,3.72,2.05
2021-03-12,13319.86035,0.03,3.83,2.01
2021-03-15,13459.70996,0.02,3.8,2.0
2021-03-16,13471.57031,0.01,3.81,2.01
2021-03-17,13525.2002,0.01,3.86,2.02
2021-03-18,13116.16992,0.01,3.88,2.04
2021-03-19,13215.24023,0.01,3.84,2.11
2021-03-22,13377.54004,0.02,3.77,2.15
2021-03-23,13227.7002,0.02,3.74,2.1
2021-03-24,12961.88965,0.02,3.72,2.09
2021-03-25,12977.67969,0.02,3.74,2.1
2021-03-26,13138.73047,0.02,3.76,2.11
2021-03-29,13059.65039,0.02,3.81,2.16
2021-03-30,13045.38965,0.01,3.77,2.18
2021-03-31,13246.87012,0.01,3.77,2.2
2021-04-01,13480.11035,0.02,3.67,2.15
2021-04-05,13705.58984,0.03,3.66,2.15
2021-04-06,13698.37988,0.02,3.62,2.12
2021-04-07,13688.83984,0.01,3.64,2.15
2021-04-08,13829.30957,0.02,3.62,2.11
2021-04-09,13900.19043,0.02,3.63,2.11
2021-04-12,13850.0,0.02,3.64,2.14
2021-04-13,13996.09961,0.03,3.61,2.12
2021-04-14,13857.83984,0.02,3.62,2.1
2021-04-15,14038.75977,0.02,3.51,2.11
2021-04-16,14052.33984,0.02,3.56,2.15
2021-04-19,13914.76953,0.01,3.6,2.12
2021-04-20,13786.26953,0.01,3.58,2.12
2021-04-21,13950.21973,0.0,3.58,2.13
2021-04-22,13818.41016,0.02,3.56,2.24
2021-04-23,14016.80957,0.01,3.57,2.24
2021-04-26,14138.78027,0.02,3.56,2.25
2021-04-27,14090.21973,0.01,3.6,2.27
2021-04-28,14051.03027,0.01,3.61,2.28
2021-04-29,14082.54981,0.01,3.62,2.28
2021-04-30,13962.67969,0.01,3.61,2.25
2021-05-03,13895.12012,0.02,3.59,2.24
2021-05-04,13633.5,0.01,3.58,2.22
2021-05-05,13582.41992,0.01,3.57,2.26
2021-05-06,13632.83984,0.01,3.54,2.24
2021-05-07,13752.24023,0.01,3.57,2.33
2021-05-10,13401.86035,0.02,3.61,2.37
2021-05-11,13389.42969,0.01,3.65,2.38
2021-05-12,13031.67969,0.01,3.71,2.36
2021-05-13,13124.99023,0.0,3.7,2.37
2021-05-14,13429.98047,0.01,3.66,2.34
2021-05-17,13379.04981,0.0,3.66,2.36
2021-05-18,13303.63965,0.0,3.67,2.32
2021-05-19,13299.74023,0.0,3.7,2.3
2021-05-20,13535.74023,0.01,3.65,2.23
2021-05-21,13470.99023,0.0,3.64,2.24
2021-05-24,13661.16992,0.01,3.61,2.24
2021-05-25,13657.16992,0.01,3.57,2.21
2021-05-26,13738.0,0.0,3.56,2.2
2021-05-27,13736.28027,0.0,3.59,2.25
2021-05-28,13748.74023,0.01,3.57,2.27
2021-06-01,13736.48047,0.01,3.59,2.32
2021-06-02,13756.33008,0.01,3.57,2.29
2021-06-03,13614.50977,0.0,3.59,2.28
2021-06-04,13814.49023,0.01,3.54,2.26
2021-06-07,13881.71973,0.01,3.55,2.27
2021-06-08,13924.91016,0.01,3.51,2.25
2021-06-09,13911.75,0.01,3.46,2.23
2021-06-10,14020.33008,0.01,3.45,2.23
2021-06-11,14069.41992,0.01,3.44,2.21
2021-06-14,14174.13965,0.01,3.47,2.28
2021-06-15,14072.86035,0.02,3.47,2.3
2021-06-16,14039.67969,0.04,3.48,2.23
2021-06-17,14161.34961,0.05,3.36,2.23
2021-06-18,14030.37988,0.05,3.3,2.11
2021-06-21,14141.48047,0.04,3.38,2.09
2021-06-22,14253.26953,0.04,3.38,2.16
2021-06-23,14271.73047,0.04,3.39,2.19
2021-06-24,14369.70996,0.05,3.37,2.15
2021-06-25,14360.38965,0.05,3.44,2.22
2021-06-28,14500.50977,0.04,3.37,2.21
2021-06-29,14528.33008,0.04,3.36,2.18
2021-06-30,14503.9502,0.05,3.32,2.17
2021-07-01,14522.37988,0.05,3.34,2.21
2021-07-02,14639.33008,0.05,3.31,2.17
2021-07-06,14663.63965,0.05,3.27,2.14
