date,OT,closeshort
2022-04-29,12334.63965,26.0
2022-05-02,12536.01953,31.0
2022-05-03,12563.75977,32.0
2022-05-04,12964.86035,38.0
2022-05-05,12317.69043,23.0
2022-05-06,12144.66016,23.0
2022-05-09,11623.25,21.0
2022-05-10,11737.66992,24.0
2022-05-11,11364.24023,22.0
2022-05-12,11370.95996,23.0
2022-05-13,11805.0,30.0
2022-05-16,11662.79004,25.0
2022-05-17,11984.51953,32.0
2022-05-18,11418.15039,24.0
2022-05-19,11388.5,22.0
2022-05-20,11354.62012,23.0
2022-05-23,11535.26953,24.0
2022-05-24,11264.4502,22.0
2022-05-25,11434.74023,26.0
2022-05-26,11740.65039,34.0
2022-05-27,12131.12988,40.0
2022-05-31,12081.38965,35.0
2022-06-01,11994.45996,36.0
2022-06-02,12316.90039,42.0
2022-06-03,12012.73047,33.0
2022-06-06,12061.37012,36.0
2022-06-07,12175.23047,40.0
2022-06-08,12086.26953,38.0
2022-06-09,11754.23047,32.0
2022-06-10,11340.01953,30.0
2022-06-13,10809.23047,29.0
2022-06-14,10828.34961,26.0
2022-06-15,11099.15039,27.0
2022-06-16,10646.09961,27.0
2022-06-17,10798.34961,29.0
2022-06-21,11069.29981,33.0
2022-06-22,11053.08008,38.0
2022-06-23,11232.19043,38.0
2022-06-24,11607.62012,41.0
2022-06-27,11524.54981,40.0
2022-06-28,11181.54004,32.0
2022-06-29,11177.88965,35.0
2022-06-30,11028.74023,33.0
2022-07-01,11127.84961,33.0
2022-07-05,11322.24023,39.0
2022-07-06,11361.84961,38.0
2022-07-07,11621.34961,46.0
2022-07-08,11635.30957,44.0
2022-07-11,11372.59961,40.0
2022-07-12,11264.73047,38.0
2022-07-13,11247.58008,43.0
2022-07-14,11251.19043,41.0
2022-07-15,11452.41992,43.0
2022-07-18,11360.04981,41.0
2022-07-19,11713.15039,48.0
2022-07-20,11897.65039,49.0
2022-07-21,12059.61035,50.0
2022-07-22,11834.11035,47.0
2022-07-25,11782.66992,46.0
2022-07-26,11562.57031,41.0
2022-07-27,12032.41992,53.0
2022-07-28,12162.58984,57.0
2022-07-29,12390.69043,56.0
2022-08-01,12368.98047,57.0
2022-08-02,12348.75977,58.0
2022-08-03,12668.16016,64.0
2022-08-04,12720.58008,63.0
2022-08-05,12657.54981,61.0
2022-08-08,12644.45996,59.0
2022-08-09,12493.92969,57.0
2022-08-10,12854.79981,60.0
2022-08-11,12779.91016,58.0
2022-08-12,13047.19043,63.0
2022-08-15,13128.04981,63.0
2022-08-16,13102.54981,62.0
2022-08-17,12938.12012,61.0
2022-08-18,12965.33984,61.0
2022-08-19,12705.21973,58.0
2022-08-22,12381.57031,53.0
2022-08-23,12381.29981,50.0
2022-08-24,12431.53027,50.0
2022-08-25,12639.26953,53.0
2022-08-26,12141.70996,50.0
2022-08-29,12017.66992,49.0
2022-08-30,11883.13965,48.0
2022-08-31,11816.2002,45.0
2022-09-01,11785.12988,42.0
2022-09-02,11630.86035,43.0
2022-09-06,11544.91016,42.0
2022-09-07,11791.90039,47.0
2022-09-08,11862.12988,47.0
2022-09-09,12112.30957,53.0
2022-09-12,12266.41016,54.0
2022-09-13,11633.57031,42.0
2022-09-14,11719.67969,43.0
2022-09-15,11552.36035,43.0
2022-09-16,11448.40039,42.0
2022-09-19,11535.01953,44.0
2022-09-20,11425.04981,45.0
2022-09-21,11220.19043,42.0
2022-09-22,11066.80957,37.0
2022-09-23,10867.92969,37.0
2022-09-26,10802.91992,36.0
2022-09-27,10829.5,34.0
2022-09-28,11051.63965,39.0
2022-09-29,10737.50977,29.0
2022-09-30,10575.62012,29.0
2022-10-03,10815.42969,35.0
2022-10-04,11176.41016,40.0
2022-10-05,11148.63965,38.0
2022-10-06,11073.30957,39.0
2022-10-07,10652.40039,30.0
2022-10-11,10426.19043,28.0
2022-10-12,10417.09961,28.0
2022-10-13,10649.15039,32.0
2022-10-14,10321.38965,26.0
2022-10-17,10675.79981,34.0
2022-10-18,10772.40039,31.0
2022-10-19,10680.50977,30.0
2022-10-20,10614.83984,30.0
2022-10-21,10859.71973,37.0
2022-10-24,10952.61035,35.0
2022-10-25,11199.12012,39.0
2022-10-26,10970.99023,36.0
2022-10-27,10792.66992,30.0
2022-10-28,11102.4502,41.0
2022-10-31,10988.15039,36.0
2022-11-01,10890.84961,30.0
2022-11-02,10524.79981,25.0
2022-11-03,10342.94043,25.0
2022-11-04,10475.25,24.0
2022-11-07,10564.51953,27.0
2022-11-08,10616.2002,29.0
2022-11-09,10353.16992,27.0
2022-11-10,11114.15039,41.0
2022-11-14,11196.21973,40.0
2022-11-15,11358.41016,43.0
2022-11-16,11183.66016,37.0
2022-11-17,11144.95996,36.0
2022-11-18,11146.05957,35.0
2022-11-21,11024.50977,31.0
2022-11-22,11174.41016,33.0
2022-11-23,11285.32031,37.0
2022-11-25,11226.36035,35.0
2022-11-28,11049.5,34.0
2022-11-29,10983.78027,31.0
2022-11-30,11468.0,41.0
2022-12-01,11482.4502,41.0
2022-12-02,11461.5,39.0
2022-12-05,11239.94043,34.0
2022-12-06,11014.88965,28.0
2022-12-07,10958.54981,29.0
2022-12-08,11082.0,31.0
2022-12-09,11004.62012,33.0
2022-12-12,11143.74023,34.0
2022-12-13,11256.80957,32.0
2022-12-14,11170.88965,32.0
2022-12-15,10810.53027,26.0
2022-12-16,10705.41016,26.0
2022-12-19,10546.03027,25.0
2022-12-20,10547.11035,25.0
2022-12-21,10709.37012,27.0
2022-12-22,10476.12012,24.0
2022-12-23,10497.86035,25.0
2022-12-27,10353.23047,23.0
2022-12-28,10213.29004,22.0
2022-12-29,10478.08984,28.0
2022-12-30,10466.48047,26.0
2023-01-03,10386.98047,25.0
2023-01-04,10458.75977,25.0
2023-01-05,10305.24023,23.0
2023-01-06,10569.29004,28.0
2023-01-09,10635.65039,30.0
2023-01-10,10742.62988,33.0
2023-01-11,10931.66992,36.0
2023-01-12,11001.09961,37.0
2023-01-13,11079.16016,38.0
2023-01-17,11095.11035,42.0
2023-01-18,10957.00977,38.0
2023-01-19,10852.26953,35.0
2023-01-20,11140.42969,44.0
2023-01-23,11364.41016,50.0
2023-01-24,11334.26953,50.0
2023-01-25,11313.36035,45.0
2023-01-26,11512.41016,51.0
2023-01-27,11621.70996,55.0
